AlN
parameters: 3.956, 3.956, 3.956, 90, 90, 90 
   position(Al)  position(N)  energy
attempt = 0
  [0, 0, 0]  [0.81, 0.06, 0.93]   -9.66144847869873
  [0, 0, 0]  [0.05, 0.84, 0.92]   -9.658843994140625
  [0, 0, 0]  [0.03, 0.21, 0.95]   -9.656850814819336
  [0, 0, 0]  [0.88, 0.07, 0.12]   -9.653443336486816
  [0, 0, 0]  [0.22, 0.97, 0.06]   -9.64356517791748
  [0, 0, 0]  [0.98, 0.15, 0.81]   -9.630851745605469
  [0, 0, 0]  [0.09, 0.93, 0.87]   -9.63062858581543
  [0, 0, 0]  [0.85, 0.15, 0.12]   -9.630359649658203
  [0, 0, 0]  [0.8, 0.84, 0.91]   -9.601845741271973
  [0, 0, 0]  [0.11, 0.08, 0.01]   -9.572247505187988
  [0, 0, 0]  [0.97, 0.23, 0.18]   -9.546876907348633
  [0, 0, 0]  [0.92, 0.93, 0.02]   -9.51992416381836
  [0, 0, 0]  [0.25, 0.16, 0.89]   -9.402727127075195
  [0, 0, 0]  [0.85, 0.07, 0.27]   -9.400641441345215
  [0, 0, 0]  [0.76, 0.91, 0.19]   -9.364320755004883
  [0, 0, 0]  [0.77, 0.15, 0.83]   -9.302945137023926
  [0, 0, 0]  [0.93, 0.99, 0.68]   -9.220948219299316
  [0, 0, 0]  [0.78, 0.2, 0.83]   -9.156208038330078
  [0, 0, 0]  [0.19, 0.08, 0.73]   -9.150343894958496
  [0, 0, 0]  [0.72, 0.81, 0.91]   -9.111026763916016
  [0, 0, 0]  [0.18, 0.3, 0.04]   -9.100564956665039
  [0, 0, 0]  [0.19, 0.11, 0.72]   -9.07518196105957
  [0, 0, 0]  [0.99, 0.83, 0.68]   -8.994047164916992
  [0, 0, 0]  [0.23, 0.84, 0.23]   -8.994047164916992
  [0, 0, 0]  [0.86, 0.5, 0.69]   -8.886932373046875
  [0, 0, 0]  [0.35, 0.74, 0.58]   -8.884808540344238
  [0, 0, 0]  [0.65, 0.46, 0.13]   -8.860701560974121
  [0, 0, 0]  [0.38, 0.95, 0.55]   -8.857524871826172
  [0, 0, 0]  [0.64, 0.79, 0.46]   -8.835497856140137
  [0, 0, 0]  [0.28, 0.69, 0.46]   -8.83413028717041
  [0, 0, 0]  [0.61, 0.58, 0.09]   -8.830677032470703
  [0, 0, 0]  [0.53, 0.6, 0.09]   -8.828612327575684
  [0, 0, 0]  [0.5, 0.2, 0.32]   -8.820820808410645
  [0, 0, 0]  [0.44, 0.67, 0.83]   -8.819610595703125
  [0, 0, 0]  [0.65, 0.56, 0.89]   -8.814087867736816
  [0, 0, 0]  [0.83, 0.49, 0.77]   -8.803204536437988
  [0, 0, 0]  [0.34, 0.19, 0.59]   -8.799417495727539
  [0, 0, 0]  [0.38, 0.48, 0.15]   -8.798033714294434
  [0, 0, 0]  [0.26, 0.5, 0.03]   -8.797076225280762
  [0, 0, 0]  [0.21, 0.37, 0.37]   -8.796014785766602
  [0, 0, 0]  [0.38, 0.4, 0.92]   -8.77392864227295
  [0, 0, 0]  [0.8, 0.61, 0.66]   -8.762221336364746
  [0, 0, 0]  [0.54, 0.97, 0.56]   -8.75718879699707
  [0, 0, 0]  [0.34, 0.42, 0.66]   -8.74895191192627
  [0, 0, 0]  [0.28, 0.37, 0.71]   -8.72887897491455
  [0, 0, 0]  [0.51, 0.6, 0.12]   -8.718741416931152
  [0, 0, 0]  [0.79, 0.64, 0.35]   -8.713374137878418
  [0, 0, 0]  [0.33, 0.79, 0.01]   -8.70151138305664
  [0, 0, 0]  [0.71, 0.37, 0.27]   -8.700861930847168
  [0, 0, 0]  [0.72, 0.37, 0.72]   -8.699686050415039
  [0, 0, 0]  [0.69, 0.41, 0.84]   -8.677115440368652
  [0, 0, 0]  [0.74, 0.79, 0.42]   -8.667510986328125
  [0, 0, 0]  [0.54, 0.98, 0.73]   -8.650227546691895
  [0, 0, 0]  [0.8, 0.88, 0.52]   -8.649744033813477
  [0, 0, 0]  [0.55, 0.52, 0.97]   -8.64730453491211
  [0, 0, 0]  [0.5, 0.41, 0.57]   -8.644702911376953
  [0, 0, 0]  [0.04, 0.69, 0.24]   -8.64267349243164
  [0, 0, 0]  [0.68, 0.48, 0.68]   -8.639050483703613
  [0, 0, 0]  [0.91, 0.54, 0.75]   -8.63753890991211
  [0, 0, 0]  [0.88, 0.63, 0.64]   -8.616120338439941
  [0, 0, 0]  [0.67, 0.36, 0.45]   -8.610374450683594
  [0, 0, 0]  [0.34, 0.57, 0.38]   -8.589409828186035
  [0, 0, 0]  [0.52, 0.22, 0.41]   -8.577683448791504
  [0, 0, 0]  [0.53, 0.74, 0.41]   -8.54404354095459
  [0, 0, 0]  [0.23, 0.66, 0.67]   -8.54395866394043
  [0, 0, 0]  [0.37, 0.59, 0.55]   -8.530237197875977
  [0, 0, 0]  [0.45, 0.25, 0.51]   -8.528721809387207
  [0, 0, 0]  [0.68, 0.76, 0.01]   -8.522381782531738
  [0, 0, 0]  [0.09, 0.19, 0.48]   -8.48464298248291
  [0, 0, 0]  [0.86, 0.58, 0.28]   -8.480464935302734
  [0, 0, 0]  [0.84, 0.75, 0.57]   -8.451372146606445
  [0, 0, 0]  [0.79, 0.16, 0.69]   -8.393380165100098
  [0, 0, 0]  [0.9, 0.49, 0.13]   -8.332365036010742
  [0, 0, 0]  [0.74, 0.31, 0.68]   -8.314033508300781
  [0, 0, 0]  [0.18, 0.97, 0.63]   -8.310107231140137
  [0, 0, 0]  [0.33, 0.9, 0.23]   -8.283126831054688
  [0, 0, 0]  [0.78, 0.11, 0.55]   -8.251450538635254
  [0, 0, 0]  [0.28, 0.84, 0.27]   -8.208585739135742
  [0, 0, 0]  [0.29, 0.59, 0.09]   -8.20037841796875
  [0, 0, 0]  [0.09, 0.84, 0.38]   -8.195984840393066
  [0, 0, 0]  [0.04, 0.8, 0.63]   -8.192028045654297
  [0, 0, 0]  [0.79, 0.42, 0.19]   -8.130353927612305
  [0, 0, 0]  [0.07, 0.8, 0.54]   -8.128494262695312
  [0, 0, 0]  [0.34, 0.88, 0.75]   -8.088726997375488
  [0, 0, 0]  [0.85, 0.97, 0.52]   -8.081229209899902
  [0, 0, 0]  [0.64, 0.2, 0.29]   -8.07954216003418
  [0, 0, 0]  [0.02, 0.43, 0.25]   -8.029911041259766
  [0, 0, 0]  [0.02, 0.32, 0.69]   -8.027647018432617
  [0, 0, 0]  [0.38, 0.02, 0.68]   -8.025589942932129
  [0, 0, 0]  [0.84, 0.4, 0.12]   -8.018071174621582
  [0, 0, 0]  [0.29, 0.79, 0.34]   -8.002238273620605
  [0, 0, 0]  [0.72, 0.1, 0.66]   -7.986595630645752
  [0, 0, 0]  [0.97, 0.33, 0.64]   -7.975513458251953
  [0, 0, 0]  [0.23, 0.41, 0.13]   -7.968264579772949
  [0, 0, 0]  [0.61, 0.22, 0.08]   -7.968021392822266
  [0, 0, 0]  [0.73, 0.35, 0.12]   -7.955694198608398
